exp,spp,tim,iso,tem,rep,ger,of
2,Cf,12,12D46,10,3,29,50
2,Cf,12,12D46,15,1,38,50
2,Cf,12,12D46,15,2,41,50
2,Cf,12,12D46,15,3,40,50
2,Cf,12,12D46,20,1,46,50
2,Cf,12,12D46,20,2,48,50
2,Cf,12,12D46,20,3,48,50
2,Cf,12,12D46,25,1,48,50
2,Cf,12,12D46,25,2,50,50
2,Cf,12,12D46,25,3,49,50
2,Cf,12,12D46,30,1,50,50
2,Cf,12,12D46,30,2,50,50
2,Cf,12,12D46,30,3,48,50
2,Cf,12,12D46,35,1,47,50
2,Cf,12,12D46,35,2,46,50
2,Cf,12,12D46,35,3,45,50
2,Cf,12,12J05,10,1,17,50
2,Cf,12,12J05,10,2,17,50
2,Cf,12,12J05,10,3,17,50
2,Cf,12,12J05,15,1,32,50
2,Cf,12,12J05,15,2,33,50
2,Cf,12,12J05,15,3,35,50
2,Cf,12,12J05,20,1,46,50
2,Cf,12,12J05,20,2,47,50
2,Cf,12,12J05,20,3,46,50
2,Cf,12,12J05,25,1,49,50
2,Cf,12,12J05,25,2,49,50
2,Cf,12,12J05,25,3,49,50
2,Cf,12,12J05,30,1,50,50
2,Cf,12,12J05,30,2,48,50
2,Cf,12,12J05,30,3,50,50
2,Cf,12,12J05,35,1,41,50
2,Cf,12,12J05,35,2,39,50
2,Cf,12,12J05,35,3,45,50
2,Cf,12,11J23,10,1,15,50
2,Cf,12,11J23,10,2,2,50
2,Cf,12,11J23,10,3,0,50
2,Cf,12,11J23,15,1,43,50
2,Cf,12,11J23,15,2,43,50
2,Cf,12,11J23,15,3,40,50
2,Cf,12,11J23,20,1,47,50
2,Cf,12,11J23,20,2,46,50
2,Cf,12,11J23,20,3,49,50
2,Cf,12,11J23,25,1,50,50
2,Cf,12,11J23,25,2,50,50
2,Cf,12,11J23,25,3,50,50
2,Cf,12,11J23,30,1,47,50
2,Cf,12,11J23,30,2,49,50
2,Cf,12,11J23,30,3,48,50
2,Cf,12,11J23,35,1,41,50
2,Cf,12,11J23,35,2,38,50
2,Cf,12,11J23,35,3,40,55
2,Cf,12,12J41,10,1,10,50
2,Cf,12,12J41,10,2,9,50
2,Cf,12,12J41,10,3,12,50
2,Cf,12,12J41,15,1,31,50
2,Cf,12,12J41,15,2,28,50
2,Cf,12,12J41,15,3,33,50
2,Cf,12,12J41,20,1,41,50
2,Cf,12,12J41,20,2,45,50
2,Cf,12,12J41,20,3,47,50
2,Cf,12,12J41,25,1,50,50
2,Cf,12,12J41,25,2,50,50
2,Cf,12,12J41,25,3,50,50
2,Cf,12,12J41,30,1,50,50
2,Cf,12,12J41,30,2,48,50
2,Cf,12,12J41,30,3,50,50
2,Cf,12,12J41,35,1,42,50
2,Cf,12,12J41,35,2,46,50
2,Cf,12,12J41,35,3,44,50
2,Ck,12,3G23,10,1,12,50
2,Ck,12,3G23,10,2,14,50
2,Ck,12,3G23,10,3,13,50
2,Ck,12,3G23,15,1,29,50
2,Ck,12,3G23,15,2,28,50
2,Ck,12,3G23,15,3,28,50
2,Ck,12,3G23,20,1,36,50
2,Ck,12,3G23,20,2,37,50
2,Ck,12,3G23,20,3,33,50
2,Ck,12,3G23,25,1,34,50
2,Ck,12,3G23,25,2,34,50
2,Ck,12,3G23,25,3,43,55
2,Ck,12,3G23,30,1,39,50
