safra;dia;folha;nitro;lado;poda;bloco;sever
1;35;35;0;2;2;I;0.28
1;42;35;0;2;2;I;0.3
1;49;35;0;2;2;I;NA
1;56;35;0;2;2;I;NA
1;63;35;0;2;2;I;NA
1;70;35;0;2;2;I;NA
1;77;35;0;2;2;I;NA
1;84;35;0;2;2;I;NA
1;0;36;0;2;2;I;0
1;14;36;0;2;2;I;0
1;21;36;0;2;2;I;0
1;28;36;0;2;2;I;0
1;35;36;0;2;2;I;0.1
1;42;36;0;2;2;I;0.1
1;49;36;0;2;2;I;0.7
1;56;36;0;2;2;I;2
1;63;36;0;2;2;I;NA
1;70;36;0;2;2;I;NA
1;77;36;0;2;2;I;NA
1;84;36;0;2;2;I;NA
1;0;37;0;2;2;I;0
1;14;37;0;2;2;I;0
1;21;37;0;2;2;I;0
1;28;37;0;2;2;I;0
1;35;37;0;2;2;I;0.19
1;42;37;0;2;2;I;0.3
1;49;37;0;2;2;I;1.7
1;56;37;0;2;2;I;2.5
1;63;37;0;2;2;I;NA
1;70;37;0;2;2;I;NA
1;77;37;0;2;2;I;NA
1;84;37;0;2;2;I;NA
1;0;38;0;2;2;I;0
1;14;38;0;2;2;I;0
1;21;38;0;2;2;I;0
1;28;38;0;2;2;I;0
1;35;38;0;2;2;I;1
1;42;38;0;2;2;I;0.8
1;49;38;0;2;2;I;0.3
1;56;38;0;2;2;I;NA
1;63;38;0;2;2;I;NA
1;70;38;0;2;2;I;NA
1;77;38;0;2;2;I;NA
1;84;38;0;2;2;I;NA
1;0;39;0;2;2;I;0
1;14;39;0;2;2;I;0
1;21;39;0;2;2;I;0
1;28;39;0;2;2;I;0
1;35;39;0;2;2;I;0.05
1;42;39;0;2;2;I;0.1
1;49;39;0;2;2;I;0.1
1;56;39;0;2;2;I;0.9
1;63;39;0;2;2;I;NA
1;70;39;0;2;2;I;NA
1;77;39;0;2;2;I;NA
1;84;39;0;2;2;I;NA
1;0;40;0;2;2;I;0
1;14;40;0;2;2;I;0
1;21;40;0;2;2;I;0
1;28;40;0;2;2;I;0.1
1;35;40;0;2;2;I;1
1;42;40;0;2;2;I;1.3
1;49;40;0;2;2;I;0.18
1;56;40;0;2;2;I;NA
1;63;40;0;2;2;I;NA
1;70;40;0;2;2;I;NA
1;77;40;0;2;2;I;NA
1;84;40;0;2;2;I;NA
1;0;41;40;1;1;I;0
1;14;41;40;1;1;I;0.03
1;21;41;40;1;1;I;0.04
