eva,iso,fun,dos,rep,d1,d2
1,5,fluxapyroxad,1,1,500,500
1,5,fluxapyroxad,1,2,500,500
1,5,fluxapyroxad,10,1,500,500
1,5,fluxapyroxad,50,1,500,500
1,5,fluxapyroxad,50,2,500,500
1,5,fluxapyroxad,100,1,500,500
1,5,penthiopyrad,0,1,1772,1771
1,5,penthiopyrad,0,2,2636,2479
1,5,penthiopyrad,0.01,1,2200,2180
1,5,penthiopyrad,0.01,2,1851,1659
1,5,penthiopyrad,0.05,1,1518,1494
1,5,penthiopyrad,0.1,1,1533,1485
1,5,penthiopyrad,0.1,2,1139,1176
1,5,penthiopyrad,0.5,1,1035,1080
1,5,penthiopyrad,1,1,998,1078
1,5,penthiopyrad,1,2,927,959
1,5,penthiopyrad,10,1,500,500
1,5,penthiopyrad,50,1,500,500
1,5,penthiopyrad,50,2,500,500
1,5,penthiopyrad,100,1,500,500
1,6,boscalid,0,1,2451,2552
1,6,boscalid,0,2,2401,2486
1,6,boscalid,0.01,1,2002,2039
1,6,boscalid,0.01,2,2219,2024
1,6,boscalid,0.05,1,2157,1959
1,6,boscalid,0.1,1,1701,1851
1,6,boscalid,0.1,2,1667,1565
1,6,boscalid,0.5,1,1487,1488
1,6,boscalid,1,1,1080,1248
1,6,boscalid,1,2,1106,1095
1,6,boscalid,10,1,500,500
1,6,boscalid,50,1,500,500
1,6,boscalid,50,2,500,500
1,6,boscalid,100,1,500,500
1,6,fluopyram,0,1,2451,2552
1,6,fluopyram,0,2,2401,2486
1,6,fluopyram,0.01,1,2068,1918
1,6,fluopyram,0.01,2,1904,1893
1,6,fluopyram,0.05,1,1830,1868
1,6,fluopyram,0.1,1,1916,1685
1,6,fluopyram,0.1,2,1553,1686
1,6,fluopyram,0.5,1,1442,1410
1,6,fluopyram,1,1,1344,1368
1,6,fluopyram,1,2,1401,1398
1,6,fluopyram,10,1,717,750
1,6,fluopyram,50,1,500,500
1,6,fluopyram,50,2,500,500
1,6,fluopyram,100,1,500,500
1,6,fluxapyroxad,0,1,2451,2552
1,6,fluxapyroxad,0,2,2401,2486
1,6,fluxapyroxad,0.01,1,1906,1985
1,6,fluxapyroxad,0.01,2,1977,1889
1,6,fluxapyroxad,0.05,1,1771,1689
1,6,fluxapyroxad,0.1,1,1527,1598
1,6,fluxapyroxad,0.1,2,1386,1273
1,6,fluxapyroxad,0.5,1,1230,1203
1,6,fluxapyroxad,1,1,1062,1084
1,6,fluxapyroxad,1,2,1070,1071
1,6,fluxapyroxad,10,1,966,1029
1,6,fluxapyroxad,50,1,1006,986
1,6,fluxapyroxad,50,2,873,917
1,6,fluxapyroxad,100,1,500,500
1,6,penthiopyrad,0,1,2451,2552
1,6,penthiopyrad,0,2,2401,2486
1,6,penthiopyrad,0.01,1,1953,1704
1,6,penthiopyrad,0.01,2,1838,1952
1,6,penthiopyrad,0.05,1,1715,1768
1,6,penthiopyrad,0.1,1,1636,1751
1,6,penthiopyrad,0.1,2,1898,1877
1,6,penthiopyrad,0.5,1,1332,1356
1,6,penthiopyrad,1,1,1363,1398
1,6,penthiopyrad,1,2,1301,1338
1,6,penthiopyrad,10,1,500,500
1,6,penthiopyrad,50,1,500,500
1,6,penthiopyrad,50,2,500,500
1,6,penthiopyrad,100,1,500,500
1,7,boscalid,0,1,2521,2471
1,7,boscalid,0,2,2353,2471
1,7,boscalid,0.01,1,1578,1955
1,7,boscalid,0.01,2,1534,1468
1,7,boscalid,0.05,1,1530,1480
1,7,boscalid,0.1,1,1462,1396
1,7,boscalid,0.1,2,1279,1371
1,7,boscalid,0.5,1,1333,1367
1,7,boscalid,1,1,1324,1376
1,7,boscalid,1,2,1264,1365
1,7,boscalid,10,1,1140,1106
1,7,boscalid,50,1,1178,1257
1,7,boscalid,50,2,1155,1206
1,7,boscalid,100,1,1256,1307
1,7,fluopyram,0,1,2521,2471
1,7,fluopyram,0,2,2353,2471
1,7,fluopyram,0.01,1,1632,1622
1,7,fluopyram,0.01,2,1712,1569
1,7,fluopyram,0.05,1,1450,1384
1,7,fluopyram,0.1,1,1475,1404
1,7,fluopyram,0.1,2,1327,1437
1,7,fluopyram,0.5,1,1378,1287
1,7,fluopyram,1,1,1270,1261
1,7,fluopyram,1,2,1262,1232
1,7,fluopyram,10,1,1080,1092
1,7,fluopyram,50,1,500,500
1,7,fluopyram,50,2,500,500
1,7,fluopyram,100,1,500,500
1,7,fluxapyroxad,0,1,2521,2471
1,7,fluxapyroxad,0,2,2353,2471
1,7,fluxapyroxad,0.01,1,2279,2119
1,7,fluxapyroxad,0.01,2,2030,2179
1,7,fluxapyroxad,0.05,1,2190,2279
1,7,fluxapyroxad,0.1,1,2029,1895
1,7,fluxapyroxad,0.1,2,1746,1769
1,7,fluxapyroxad,0.5,1,1814,1758
1,7,fluxapyroxad,1,1,1707,1649
1,7,fluxapyroxad,1,2,1846,1747
1,7,fluxapyroxad,10,1,1337,1373
1,7,fluxapyroxad,50,1,1367,1254
1,7,fluxapyroxad,50,2,1203,1233
1,7,fluxapyroxad,100,1,1049,1049
1,7,penthiopyrad,0,1,2521,2471
1,7,penthiopyrad,0,2,2353,2471
1,7,penthiopyrad,0.01,1,1818,1835
1,7,penthiopyrad,0.01,2,1947,1931
1,7,penthiopyrad,0.05,1,1624,1483
1,7,penthiopyrad,0.1,1,1327,1530
1,7,penthiopyrad,0.1,2,1486,1547
1,7,penthiopyrad,0.5,1,1466,1514
1,7,penthiopyrad,1,1,1469,1424
1,7,penthiopyrad,1,2,1447,1423
1,7,penthiopyrad,10,1,1076,1083
1,7,penthiopyrad,50,1,900,988
1,7,penthiopyrad,50,2,919,853
1,7,penthiopyrad,100,1,778,757
1,8,boscalid,0,1,2460,2564
1,8,boscalid,0,2,2545,2615
1,8,boscalid,0.01,1,1951,1982
1,8,boscalid,0.01,2,1987,2075
1,8,boscalid,0.05,1,1859,1879
1,8,boscalid,0.1,1,1985,1978
1,8,boscalid,0.1,2,1536,1624
1,8,boscalid,0.5,1,1663,1730
1,8,boscalid,1,1,1488,1582
1,8,boscalid,1,2,1827,1784
1,8,boscalid,10,1,1573,1547
1,8,boscalid,50,1,1521,1521
1,8,boscalid,50,2,1453,1471
1,8,boscalid,100,1,1540,1479
1,8,fluopyram,0,1,2460,2564
1,8,fluopyram,0,2,2545,2615
1,8,fluopyram,0.01,1,1874,2058
1,8,fluopyram,0.01,2,1604,1681
1,8,fluopyram,0.05,1,1766,1798
1,8,fluopyram,0.1,1,1809,1815
1,8,fluopyram,0.1,2,1669,1631
1,8,fluopyram,0.5,1,1580,1539
1,8,fluopyram,1,1,1375,1470
1,8,fluopyram,1,2,1249,1331
1,8,fluopyram,10,1,1101,1124
1,8,fluopyram,50,1,500,500
1,8,fluopyram,50,2,500,500
1,8,fluopyram,100,1,500,500
1,8,fluxapyroxad,0,1,2460,2564
1,8,fluxapyroxad,0,2,2545,2615
1,8,fluxapyroxad,0.01,1,1904,2098
1,8,fluxapyroxad,0.01,2,1823,1799
1,8,fluxapyroxad,0.05,1,1818,1889
1,8,fluxapyroxad,0.1,1,2000,1978
1,8,fluxapyroxad,0.1,2,1714,1757
1,8,fluxapyroxad,0.5,1,1887,1786
1,8,fluxapyroxad,1,1,1922,1836
1,8,fluxapyroxad,1,2,1633,1672
1,8,fluxapyroxad,10,1,1415,1449
1,8,fluxapyroxad,50,1,1247,1328
1,8,fluxapyroxad,50,2,1377,1346
1,8,fluxapyroxad,100,1,1254,1318
1,8,penthiopyrad,0,1,2460,2564
1,8,penthiopyrad,0,2,2545,2615
1,8,penthiopyrad,0.01,1,2208,2048
1,8,penthiopyrad,0.01,2,1632,2000
1,8,penthiopyrad,0.05,1,1736,1717
1,8,penthiopyrad,0.1,1,1660,1646
1,8,penthiopyrad,0.1,2,1640,1700
1,8,penthiopyrad,0.5,1,1667,1647
1,8,penthiopyrad,1,1,1618,1612
1,8,penthiopyrad,1,2,1565,1563
1,8,penthiopyrad,10,1,1322,1294
1,8,penthiopyrad,50,1,1291,1247
1,8,penthiopyrad,50,2,1253,1199
1,8,penthiopyrad,100,1,1052,1043
1,9,boscalid,0,1,1991,2006
1,9,boscalid,0,2,2327,2320
1,9,boscalid,0.01,1,1600,1730
1,9,boscalid,0.01,2,1600,1574
1,9,boscalid,0.05,1,1393,1375
1,9,boscalid,0.1,1,1208,1208
1,9,boscalid,0.1,2,1016,1017
1,9,boscalid,0.5,1,988,990
1,9,boscalid,1,1,500,500
1,9,boscalid,1,2,500,500
1,9,boscalid,10,1,500,500
1,9,boscalid,50,1,500,500
1,9,boscalid,50,2,500,500
1,9,boscalid,100,1,500,500
1,9,fluopyram,0,1,1991,2006
1,9,fluopyram,0,2,2327,2320
1,9,fluopyram,0.01,1,1506,1602
1,9,fluopyram,0.01,2,1608,1996
1,9,fluopyram,0.05,1,1513,1578
1,9,fluopyram,0.1,1,1535,1505
1,9,fluopyram,0.1,2,1043,1054
1,9,fluopyram,0.5,1,1124,1124
1,9,fluopyram,1,1,500,500
1,9,fluopyram,1,2,500,500
1,9,fluopyram,10,1,500,500
1,9,fluopyram,50,1,500,500
1,9,fluopyram,50,2,500,500
1,9,fluopyram,100,1,500,500
1,9,fluxapyroxad,0,1,1991,2006
1,9,fluxapyroxad,0,2,2327,2320
1,9,fluxapyroxad,0.01,1,1933,1838
1,9,fluxapyroxad,0.01,2,1871,1967
1,9,fluxapyroxad,0.05,1,1196,1413
1,9,fluxapyroxad,0.1,1,1185,1185
1,9,fluxapyroxad,0.1,2,901,969
1,9,fluxapyroxad,0.5,1,770,803
