exp,spp,iso,rep,tem,day,mm1,mm2
1,Cf,11K11,3,30,2,11.78,10.95
1,Cf,11K17,1,30,2,11.84,11.84
1,Cf,11K17,2,30,2,12.47,12.06
1,Cf,11K17,3,30,2,12.54,12.31
1,Cf,11J23,1,30,2,13,12.22
1,Cf,11J23,2,30,2,13.11,12.21
1,Cf,11J23,3,30,2,13.09,12.53
1,Cf,12D46,1,30,2,12.25,11.83
1,Cf,12D46,2,30,2,12.26,12.3
1,Cf,12D46,3,30,2,12,12.09
1,Cf,12J05,1,30,2,12.08,11.88
1,Cf,12J05,2,30,2,12.15,11.89
1,Cf,12J05,3,30,2,12.06,12.58
1,Cf,12J41,1,30,2,13.08,11.6
1,Cf,12J41,2,30,2,12.58,11.69
1,Cf,12J41,3,30,2,11.52,11.27
1,Cf,11K11,1,35,2,4,4
1,Cf,11K11,2,35,2,4,4
1,Cf,11K11,3,35,2,4,4
1,Cf,11K17,1,35,2,4,4
1,Cf,11K17,2,35,2,4,4
1,Cf,11K17,3,35,2,4,4
1,Cf,11J23,1,35,2,4,4
1,Cf,11J23,2,35,2,4,4
1,Cf,11J23,3,35,2,4,4
1,Cf,12D46,1,35,2,4,4
1,Cf,12D46,2,35,2,4,4
1,Cf,12D46,3,35,2,4,4
1,Cf,12J05,1,35,2,4,4
1,Cf,12J05,2,35,2,4,4
1,Cf,12J05,3,35,2,4,4
1,Cf,12J41,1,35,2,4,4
1,Cf,12J41,2,35,2,4,4
1,Cf,12J41,3,35,2,4,4
1,Cf,11K11,1,10,3,5.82,5.56
1,Cf,11K11,2,10,3,5.46,5.57
1,Cf,11K11,3,10,3,6.35,6.21
1,Cf,11K17,1,10,3,6.59,6.36
1,Cf,11K17,2,10,3,5.27,5.23
1,Cf,11K17,3,10,3,5.59,5.31
1,Cf,11J23,1,10,3,6.22,6.48
1,Cf,11J23,2,10,3,6.92,6.85
1,Cf,11J23,3,10,3,8.25,6.8
1,Cf,12D46,1,10,3,6.05,6.22
1,Cf,12D46,2,10,3,5.81,5.6
1,Cf,12D46,3,10,3,5.26,5.17
1,Cf,12J05,1,10,3,5.05,5.14
1,Cf,12J05,2,10,3,5.56,5.16
1,Cf,12J05,3,10,3,5.82,5.17
1,Cf,12J41,1,10,3,6.3,5.89
1,Cf,12J41,2,10,3,5.79,5.4
1,Cf,12J41,3,10,3,6.05,5.51
1,Cf,11K11,1,15,3,11.14,10.69
1,Cf,11K11,2,15,3,11.87,11.77
1,Cf,11K11,3,15,3,11.63,16.28
1,Cf,11K17,1,15,3,12.41,12.7
1,Cf,11K17,2,15,3,12.98,12.03
1,Cf,11K17,3,15,3,11.83,11.56
1,Cf,11J23,1,15,3,11.78,11.54
1,Cf,11J23,2,15,3,13.05,13.55
1,Cf,11J23,3,15,3,12.01,12.21
1,Cf,12D46,1,15,3,10.93,11.22
1,Cf,12D46,2,15,3,12.17,12.52
1,Cf,12D46,3,15,3,12.25,12.19
1,Cf,12J05,1,15,3,10.85,10.73
1,Cf,12J05,2,15,3,11.09,12.04
1,Cf,12J05,3,15,3,11.6,11.46
1,Cf,12J41,1,15,3,9.63,11.01
1,Cf,12J41,2,15,3,10.97,9.34
1,Cf,12J41,3,15,3,10.08,9.3
1,Cf,11K11,1,20,3,13.05,12.81
1,Cf,11K11,2,20,3,14.06,14.68
1,Cf,11K11,3,20,3,14.44,13.15
1,Cf,11K17,1,20,3,15.01,14.87
1,Cf,11K17,2,20,3,14.72,15.67
1,Cf,11K17,3,20,3,14.16,14.99
1,Cf,11J23,1,20,3,14.34,15.18
1,Cf,11J23,2,20,3,14.23,14.32
1,Cf,11J23,3,20,3,14.75,14.55
1,Cf,12D46,1,20,3,15.12,14.97
1,Cf,12D46,2,20,3,14.27,14.23
1,Cf,12D46,3,20,3,13.04,12.51
1,Cf,12J05,1,20,3,13.5,14.08
1,Cf,12J05,2,20,3,13.18,12.37
1,Cf,12J05,3,20,3,12.36,12.64
1,Cf,12J41,1,20,3,11.65,10.53
1,Cf,12J41,2,20,3,11.75,11.32
1,Cf,12J41,3,20,3,13.5,11.48
1,Cf,11K11,1,25,3,20.01,20.03
1,Cf,11K11,2,25,3,20.53,19.69
1,Cf,11K11,3,25,3,20.28,20.12
1,Cf,11K17,1,25,3,20.89,21.58
1,Cf,11K17,2,25,3,20.8,24.15
1,Cf,11K17,3,25,3,21.45,21.72
1,Cf,11J23,1,25,3,21.42,21.93
1,Cf,11J23,2,25,3,21.39,21.49
1,Cf,11J23,3,25,3,21.62,21.66
1,Cf,12D46,1,25,3,20.11,20.48
1,Cf,12D46,2,25,3,20.3,19.87
1,Cf,12D46,3,25,3,21.54,21.39
1,Cf,12J05,1,25,3,20.05,19.95
1,Cf,12J05,2,25,3,20.31,20.38
1,Cf,12J05,3,25,3,19.93,20.06
1,Cf,12J41,1,25,3,19.23,20.11
1,Cf,12J41,2,25,3,20.87,20.53
1,Cf,12J41,3,25,3,19.74,20.65
1,Cf,11K11,1,30,3,15.42,14.81
1,Cf,11K11,2,30,3,14.95,15.22
1,Cf,11K11,3,30,3,15.26,14.63
1,Cf,11K17,1,30,3,15.24,15.46
1,Cf,11K17,2,30,3,15.59,15.89
1,Cf,11K17,3,30,3,15.95,15.68
1,Cf,11J23,1,30,3,16.33,15.69
1,Cf,11J23,2,30,3,16.12,16.61
1,Cf,11J23,3,30,3,15.75,16.35
1,Cf,12D46,1,30,3,15.71,15.37
1,Cf,12D46,2,30,3,15.6,15.91
1,Cf,12D46,3,30,3,15.92,15.6
1,Cf,12J05,1,30,3,15.54,15.65
1,Cf,12J05,2,30,3,15.81,15.46
1,Cf,12J05,3,30,3,15.27,15.53
1,Cf,12J41,1,30,3,13.8,15.5
1,Cf,12J41,2,30,3,14.89,16.13
1,Cf,12J41,3,30,3,14.79,15.11
1,Cf,11K11,1,35,3,4,4
1,Cf,11K11,2,35,3,4,4
1,Cf,11K11,3,35,3,4,4
1,Cf,11K17,1,35,3,4,4
1,Cf,11K17,2,35,3,4,4
1,Cf,11K17,3,35,3,4,4
1,Cf,11J23,1,35,3,4,4
1,Cf,11J23,2,35,3,4,4
1,Cf,11J23,3,35,3,4,4
1,Cf,12D46,1,35,3,4,4
1,Cf,12D46,2,35,3,4,4
1,Cf,12D46,3,35,3,4,4
1,Cf,12J05,1,35,3,4,4
1,Cf,12J05,2,35,3,4,4
1,Cf,12J05,3,35,3,4,4
1,Cf,12J41,1,35,3,4,4
1,Cf,12J41,2,35,3,4,4
1,Cf,12J41,3,35,3,4,4
1,Cf,11K11,1,10,4,6.82,6.71
1,Cf,11K11,2,10,4,6.33,6.5
1,Cf,11K11,3,10,4,7.38,6.81
1,Cf,11K17,1,10,4,8.54,8.2
1,Cf,11K17,2,10,4,6.21,6.26
1,Cf,11K17,3,10,4,6.2,6.22
1,Cf,11J23,1,10,4,7.63,8.14
1,Cf,11J23,2,10,4,8.56,7.79
1,Cf,11J23,3,10,4,8.56,10.23
1,Cf,12D46,1,10,4,8.02,7.57
1,Cf,12D46,2,10,4,6.86,5.98
1,Cf,12D46,3,10,4,5.46,5.69
1,Cf,12J05,1,10,4,5.87,5.68
1,Cf,12J05,2,10,4,5.28,6.09
1,Cf,12J05,3,10,4,7.13,5.25
1,Cf,12J41,1,10,4,5.88,6.19
1,Cf,12J41,2,10,4,5.88,5.5
1,Cf,12J41,3,10,4,6.62,5.77
1,Cf,11K11,1,15,4,13.79,14.05
1,Cf,11K11,2,15,4,15.42,15.62
1,Cf,11K11,3,15,4,19.76,15.36
1,Cf,11K17,1,15,4,16.38,16.4
1,Cf,11K17,2,15,4,15.93,16.7
1,Cf,11K17,3,15,4,15.94,15.86
1,Cf,11J23,1,15,4,15.78,15.58
1,Cf,11J23,2,15,4,16.57,17.07
1,Cf,11J23,3,15,4,16.34,16.09
1,Cf,12D46,1,15,4,15.19,15.47
1,Cf,12D46,2,15,4,15.75,16.62
1,Cf,12D46,3,15,4,16.16,16.24
1,Cf,12J05,1,15,4,13.63,14.36
1,Cf,12J05,2,15,4,14.6,15.15
1,Cf,12J05,3,15,4,14.86,15.26
1,Cf,12J41,1,15,4,13.43,12.29
1,Cf,12J41,2,15,4,14.07,12.27
1,Cf,12J41,3,15,4,12.3,13.34
1,Cf,11K11,1,20,4,18.92,18.54
1,Cf,11K11,2,20,4,19.69,19.3
1,Cf,11K11,3,20,4,18.12,19.02
1,Cf,11K17,1,20,4,20.73,20.24
1,Cf,11K17,2,20,4,19.91,20.71
1,Cf,11K17,3,20,4,20.16,20.3
1,Cf,11J23,1,20,4,20.58,20.59
1,Cf,11J23,2,20,4,20.4,19.7
1,Cf,11J23,3,20,4,20.44,20.17
1,Cf,12D46,1,20,4,20.33,20.59
1,Cf,12D46,2,20,4,20.01,19.45
1,Cf,12D46,3,20,4,18.84,18.32
1,Cf,12J05,1,20,4,19.16,18.08
1,Cf,12J05,2,20,4,17.94,18.12
1,Cf,12J05,3,20,4,18.63,17.73
1,Cf,12J41,1,20,4,14.97,16.37
1,Cf,12J41,2,20,4,15.48,16.99
1,Cf,12J41,3,20,4,16.73,18.33
1,Cf,11K11,1,25,4,26.64,26.8
1,Cf,11K11,2,25,4,27.16,26.24
1,Cf,11K11,3,25,4,26.3,26.95
1,Cf,11K17,1,25,4,27.59,27.68
1,Cf,11K17,2,25,4,30.03,27.05
