cober;gesso;prof;varie;bloc;tens;umid
Millet;0;0-0.05;Imperial;4;100;0.1259
Millet;0;0-0.05;Imperial;1;300;0.1178
Millet;0;0-0.05;Imperial;2;300;0.0829
Millet;0;0-0.05;Imperial;3;300;0.0802
Millet;0;0-0.05;Imperial;4;300;0.1152
Millet;0;0-0.05;Imperial;1;1500;0.1242
Millet;0;0-0.05;Imperial;2;1500;0.0616
Millet;0;0-0.05;Imperial;3;1500;0.0632
Millet;0;0-0.05;Imperial;4;1500;0.0864
Millet;0;0.05-0.20;Pérola;1;0;0.4023
Millet;0;0.05-0.20;Pérola;2;0;0.2568
Millet;0;0.05-0.20;Pérola;3;0;0.3504
Millet;0;0.05-0.20;Pérola;4;0;0.2581
Millet;0;0.05-0.20;Pérola;1;1;0.4047
Millet;0;0.05-0.20;Pérola;2;1;0.25
Millet;0;0.05-0.20;Pérola;3;1;0.344
Millet;0;0.05-0.20;Pérola;4;1;0.256
Millet;0;0.05-0.20;Pérola;1;2;0.3903
Millet;0;0.05-0.20;Pérola;2;2;0.2486
Millet;0;0.05-0.20;Pérola;3;2;0.3464
Millet;0;0.05-0.20;Pérola;4;2;0.2549
Millet;0;0.05-0.20;Pérola;1;4;0.3286
Millet;0;0.05-0.20;Pérola;2;4;0.2336
Millet;0;0.05-0.20;Pérola;3;4;0.2612
Millet;0;0.05-0.20;Pérola;4;4;0.2358
Millet;0;0.05-0.20;Pérola;1;6;0.2543
Millet;0;0.05-0.20;Pérola;2;6;0.2057
Millet;0;0.05-0.20;Pérola;3;6;0.215
Millet;0;0.05-0.20;Pérola;4;6;0.1919
Millet;0;0.05-0.20;Pérola;1;8;0.2086
Millet;0;0.05-0.20;Pérola;2;8;0.1803
Millet;0;0.05-0.20;Pérola;3;8;0.1937
Millet;0;0.05-0.20;Pérola;4;8;0.1703
Millet;0;0.05-0.20;Pérola;1;9;0.1921
Millet;0;0.05-0.20;Pérola;2;9;0.1653
Millet;0;0.05-0.20;Pérola;3;9;0.1794
Millet;0;0.05-0.20;Pérola;4;9;0.1557
Millet;0;0.05-0.20;Pérola;1;10;0.1806
Millet;0;0.05-0.20;Pérola;2;10;0.1574
Millet;0;0.05-0.20;Pérola;3;10;0.1769
Millet;0;0.05-0.20;Pérola;4;10;0.1526
Millet;0;0.05-0.20;Pérola;1;33;0.1333
Millet;0;0.05-0.20;Pérola;2;33;0.1149
Millet;0;0.05-0.20;Pérola;3;33;0.1394
Millet;0;0.05-0.20;Pérola;4;33;0.1098
Millet;0;0.05-0.20;Pérola;1;66;0.1202
Millet;0;0.05-0.20;Pérola;2;66;0.1011
Millet;0;0.05-0.20;Pérola;3;66;0.126
Millet;0;0.05-0.20;Pérola;4;66;0.1022
Millet;0;0.05-0.20;Pérola;1;100;0.1124
Millet;0;0.05-0.20;Pérola;2;100;0.1007
Millet;0;0.05-0.20;Pérola;3;100;0.1201
Millet;0;0.05-0.20;Pérola;4;100;0.1072
Millet;0;0.05-0.20;Pérola;1;300;0.1054
Millet;0;0.05-0.20;Pérola;2;300;0.0839
Millet;0;0.05-0.20;Pérola;3;300;0.1064
Millet;0;0.05-0.20;Pérola;4;300;0.091
Millet;0;0.05-0.20;Pérola;1;1500;0.0868
Millet;0;0.05-0.20;Pérola;2;1500;0.0781
Millet;0;0.05-0.20;Pérola;3;1500;0.0814
Millet;0;0.05-0.20;Pérola;4;1500;0.0541
Millet;0;0.05-0.20;Smooth cayenne;1;0;0.2709
Millet;0;0.05-0.20;Smooth cayenne;2;0;0.2869
Millet;0;0.05-0.20;Smooth cayenne;3;0;0.3564
Millet;0;0.05-0.20;Smooth cayenne;4;0;0.3262
Millet;0;0.05-0.20;Smooth cayenne;1;1;0.2691
Millet;0;0.05-0.20;Smooth cayenne;2;1;0.2724
Millet;0;0.05-0.20;Smooth cayenne;3;1;0.3595
Millet;0;0.05-0.20;Smooth cayenne;4;1;0.3207
Millet;0;0.05-0.20;Smooth cayenne;1;2;0.2721
Millet;0;0.05-0.20;Smooth cayenne;2;2;0.27
Millet;0;0.05-0.20;Smooth cayenne;3;2;0.3543
Millet;0;0.05-0.20;Smooth cayenne;4;2;0.3205
Millet;0;0.05-0.20;Smooth cayenne;1;4;0.2588
Millet;0;0.05-0.20;Smooth cayenne;2;4;0.2521
Millet;0;0.05-0.20;Smooth cayenne;3;4;0.3012
Millet;0;0.05-0.20;Smooth cayenne;4;4;0.2967
Millet;0;0.05-0.20;Smooth cayenne;1;6;0.2149
Millet;0;0.05-0.20;Smooth cayenne;2;6;0.1865
Millet;0;0.05-0.20;Smooth cayenne;3;6;0.2449
Millet;0;0.05-0.20;Smooth cayenne;4;6;0.2426
Millet;0;0.05-0.20;Smooth cayenne;1;8;0.1895
Millet;0;0.05-0.20;Smooth cayenne;2;8;0.1615
Millet;0;0.05-0.20;Smooth cayenne;3;8;0.2046
Millet;0;0.05-0.20;Smooth cayenne;4;8;0.2059
Millet;0;0.05-0.20;Smooth cayenne;1;9;0.1721
Millet;0;0.05-0.20;Smooth cayenne;2;9;0.15
Millet;0;0.05-0.20;Smooth cayenne;3;9;0.1944
Millet;0;0.05-0.20;Smooth cayenne;4;9;0.1776
Millet;0;0.05-0.20;Smooth cayenne;1;10;0.1706
Millet;0;0.05-0.20;Smooth cayenne;2;10;0.1427
Millet;0;0.05-0.20;Smooth cayenne;3;10;0.1869
Millet;0;0.05-0.20;Smooth cayenne;4;10;0.1771
Millet;0;0.05-0.20;Smooth cayenne;1;33;0.1366
Millet;0;0.05-0.20;Smooth cayenne;2;33;0.0972
Millet;0;0.05-0.20;Smooth cayenne;3;33;0.1292
Millet;0;0.05-0.20;Smooth cayenne;4;33;0.1439
Millet;0;0.05-0.20;Smooth cayenne;1;66;0.119
Millet;0;0.05-0.20;Smooth cayenne;2;66;0.0856
Millet;0;0.05-0.20;Smooth cayenne;3;66;0.119
Millet;0;0.05-0.20;Smooth cayenne;4;66;0.1231
Millet;0;0.05-0.20;Smooth cayenne;1;100;0.1185
Millet;0;0.05-0.20;Smooth cayenne;2;100;0.093
Millet;0;0.05-0.20;Smooth cayenne;3;100;0.1018
Millet;0;0.05-0.20;Smooth cayenne;4;100;0.1195
Millet;0;0.05-0.20;Smooth cayenne;1;300;0.1048
Millet;0;0.05-0.20;Smooth cayenne;2;300;0.0766
Millet;0;0.05-0.20;Smooth cayenne;3;300;0.0879
Millet;0;0.05-0.20;Smooth cayenne;4;300;0.1162
Millet;0;0.05-0.20;Smooth cayenne;1;1500;0.0743
Millet;0;0.05-0.20;Smooth cayenne;2;1500;0.0469
Millet;0;0.05-0.20;Smooth cayenne;3;1500;0.0635
Millet;0;0.05-0.20;Smooth cayenne;4;1500;0.0863
Millet;0;0.05-0.20;IAC Fantástico;1;0;0.3721
Millet;0;0.05-0.20;IAC Fantástico;2;0;0.3264
Millet;0;0.05-0.20;IAC Fantástico;3;0;0.3042
Millet;0;0.05-0.20;IAC Fantástico;4;0;0.4592
Millet;0;0.05-0.20;IAC Fantástico;1;1;0.3705
Millet;0;0.05-0.20;IAC Fantástico;2;1;0.3318
Millet;0;0.05-0.20;IAC Fantástico;3;1;0.3052
Millet;0;0.05-0.20;IAC Fantástico;4;1;0.4381
Millet;0;0.05-0.20;IAC Fantástico;1;2;0.3836
Millet;0;0.05-0.20;IAC Fantástico;2;2;0.3371
Millet;0;0.05-0.20;IAC Fantástico;3;2;0.1096
Millet;0;0.05-0.20;IAC Fantástico;4;2;0.3876
Millet;0;0.05-0.20;IAC Fantástico;1;4;0.3035
Millet;0;0.05-0.20;IAC Fantástico;2;4;0.3114
Millet;0;0.05-0.20;IAC Fantástico;3;4;0.2742
Millet;0;0.05-0.20;IAC Fantástico;4;4;0.2868
Millet;0;0.05-0.20;IAC Fantástico;1;6;0.2417
Millet;0;0.05-0.20;IAC Fantástico;2;6;0.25
Millet;0;0.05-0.20;IAC Fantástico;3;6;0.241
Millet;0;0.05-0.20;IAC Fantástico;4;6;0.2364
Millet;0;0.05-0.20;IAC Fantástico;1;8;0.2063
Millet;0;0.05-0.20;IAC Fantástico;2;8;0.2151
Millet;0;0.05-0.20;IAC Fantástico;3;8;0.2261
Millet;0;0.05-0.20;IAC Fantástico;4;8;0.2029
Millet;0;0.05-0.20;IAC Fantástico;1;9;0.1909
Millet;0;0.05-0.20;IAC Fantástico;2;9;0.1974
Millet;0;0.05-0.20;IAC Fantástico;3;9;0.1893
